40A;20170927000000001;2;280031353;2018;361363-4;N;;3136;01;321;4206;15964;0;20170;2016;2183002;27;15;0107518446;00000000
40A;20170927000000001;2;280031354;2018;368525-4;N;;2633;01;321;3622;13858;0;17480;2016;2183002;27;15;0107519446;00000000
40A;20170927000000001;2;280031361;2018;351401-4;S;;75632;11;120;125;345;0;812;2017;2183909;27;15;0107528446;00000000
40A;20170927000000001;2;280031362;2018;351401-4;S;;75632;11;120;125;345;0;812;2017;2183909;27;15;0107529446;00000000
40A;20170927000000001;2;280031365;2018;365999-4;N;;84105;01;120;120;295;0;591;2017;2183909;27;15;0107532446;00000000
40A;20170927000000001;2;280031366;2018;351401-4;S;;75632;11;120;125;345;0;812;2017;2183909;27;15;0107533446;00000000
40A;20170927000000001;2;280031367;2018;351402-4;S;;169511;11;110;0;0;0;577;2017;0;27;15;0107534446;00000000
40A;20170927000000001;2;280031372;2018;368892-4;N;;4450;01;499;0;0;1;0;2013;0;27;15;0107535446;00000000
40A;20170927000000001;2;280031373;2018;351401-4;S;;75632;11;120;125;345;0;812;2017;2183909;27;15;0107536446;00000000
40A;20170927000000001;2;280031374;2018;351402-4;S;;169511;11;110;0;0;0;577;2017;0;27;15;0107537446;00000000
40A;20170927000000001;2;280031375;2018;353122-4;N;;1742;01;220;193;273;0;466;2015;2183909;27;15;0107538446;00000000
40A;20170927000000001;2;280031380;2018;360336-4;N;;143943;01;120;125;768;0;1865;2017;2183909;27;15;0107539446;00000000
40A;20170927000000001;2;280031381;2018;354599-4;N;;2231;01;220;185;653;0;838;2015;2183909;27;15;0107540446;00000000
40A;20170927000000001;2;280031382;2018;361828-4;N;;13674;01;210;144;0;0;144;2015;2183909;27;15;0107541446;00000000
40A;20170927000000001;2;280031394;2018;357786-4;N;;960;01;499;0;0;1;0;2013;0;27;15;0107552446;00000000
40A;20170927000000001;2;280031402;2018;364952-4;N;;1039547;01;120;125;553;0;3710;2017;2183909;27;15;0107553446;00000000
