09M;20170404000000989;2;280082072;M;6759359.3;578196.5;1;0
09M;20170404000000989;2;280084970;M;6760175.4;579039.4;3;21
09M;20170404000000989;2;280084012;M;6755126.2;593663.1;5;22
09M;20170404000000989;2;280083179;M;6759034.8;579145.5;3;38
09M;20170404000000989;2;280181504;M;6751282.6;590157.9;2;12
09M;20170404000000989;2;280085365;M;6752953.8;590894.5;3;74
09M;20170404000000989;2;280085732;M;6755250.3;591137;3;44
09M;20170404000000989;2;280174025;M;6747311.1;578358.7;1;0
09M;20170404000000989;2;280085612;M;6752432.7;590369.9;3;78
09M;20170404000000989;2;280084436;M;6751836.1;593014.4;4;41
09M;20170404000000989;2;280080959;M;6751212;591637.1;2;16
09M;20170404000000989;2;280082767;M;6756240.6;591947.8;2;21
09M;20170404000000989;2;280084213;M;6753122.5;593602.1;2;12
09M;20170404000000989;2;280081426;M;6754233.3;585106.8;2;19
09M;20170404000000989;2;280184333;M;6762271.8;597290.3;3;31
09M;20170404000000989;2;280082989;M;6761963;596517;1;0
09M;20170404000000989;2;280080741;M;6759647.7;578980.5;2;10
09M;20170404000000989;2;280082871;M;6752778;595288.9;3;19
09M;20170404000000989;2;280085171;M;6750618.1;592017.9;3;18
09M;20170404000000989;2;280179638;M;6753398.2;593302;1;0
09M;20170404000000989;2;280172758;M;6761219.6;587320.8;2;12
09M;20170404000000989;2;280083557;M;6755040.8;573508.2;2;22
09M;20170404000000989;2;280083392;M;6751815.5;593573.1;5;32
09M;20170404000000989;2;280084707;M;6751202.8;590385.4;2;23
09M;20170404000000989;2;280084796;M;6751752.5;589357.8;1;0
09M;20170404000000989;2;280182852;M;6746294.2;579525.2;2;256
09M;20170404000000989;2;280085650;M;6754596.5;590951.8;3;29
09M;20170404000000989;2;280082327;M;6767978.5;590701.2;2;16
09M;20170404000000989;2;280082987;M;6761679.3;596648.2;2;8
09M;20170404000000989;2;280186897;M;6751163.1;590235.7;2;10
09M;20170404000000989;2;280085922;M;6751879;595876.1;4;16
09M;20170404000000989;2;280082207;M;6770924.2;589937.4;2;21
09M;20170404000000989;2;280082747;M;6763678.6;594238.2;2;14
09M;20170404000000989;2;280081697;M;6750355.9;602564.6;2;7
09M;20170404000000989;2;280179634;M;6752877.5;594940.5;5;21
09M;20170404000000989;2;280182938;M;6749986.5;592285;1;0
09M;20170404000000989;2;280184744;M;6746394.1;589241.7;1;0
09M;20170404000000989;2;280081086;M;6768990.4;590936.5;2;17
09M;20170404000000989;2;280180998;M;6745223;601257.8;2;13
09M;20170404000000989;2;280083834;M;6754478.9;594319.2;4;30
09M;20170404000000989;2;280178574;M;6751235.1;591936;1;0
09M;20170404000000989;2;280081193;M;6768212.3;593197.5;2;76
09M;20170404000000989;2;280175876;M;6750728.9;592825.6;1;0
09M;20170404000000989;2;280084118;M;6767101.4;591149.2;1;0
09M;20170404000000989;2;280085356;M;6758077.7;582062.8;2;27
09M;20170404000000989;2;280080787;M;6744067.2;579653.8;3;25
09M;20170404000000989;2;280183600;M;6744006.3;580160.7;4;53
09M;20170404000000989;2;280082260;M;6769950.9;591679.9;3;19
09M;20170404000000989;2;280170294;M;6751315.7;590149.8;3;64
09M;20170404000000989;2;280085467;M;6756900.4;581321.1;2;27
09M;20170404000000989;2;280085718;M;6750944.3;591545.5;1;0
09M;20170404000000989;2;280106630;M;6752375.9;576996.3;2;6
09M;20170404000000989;2;280084802;M;6751432.5;590768.1;2;31
09M;20170404000000989;2;280082552;M;6757556.3;589700.3;1;0
09M;20170404000000989;2;280175709;M;6764250.6;594096.8;2;19
09M;20170404000000989;2;280083621;M;6756949.4;590206.3;2;15
09M;20170404000000989;2;280085422;M;6757007.4;582036.7;1;0
09M;20170404000000989;2;280084185;M;6753607.5;593700;2;12
09M;20170404000000989;2;280083093;M;6759774.2;578915.8;3;21
09M;20170404000000989;2;280084808;M;6751174.6;590148.6;2;47
09M;20170404000000989;2;280081187;M;6767508.3;590811.1;3;20
09M;20170404000000989;2;280083128;M;6755660.3;587331.6;1;0
09M;20170404000000989;2;280084969;M;6760207.4;579027.9;2;19
09M;20170404000000989;2;280085075;M;6755808;585919.6;1;0
09M;20170404000000989;2;280178839;M;6753947;593101.9;2;25
09M;20170404000000989;2;280082463;M;6769689.8;591666.1;2;52
09M;20170404000000989;2;280082923;M;6753247.2;595348.2;2;15
09M;20170404000000989;2;280085522;M;6753250.9;590187.3;2;25
09M;20170404000000989;2;280187697;M;6751834.4;593892.6;2;7
09M;20170404000000989;2;280082330;M;6770333.5;591839.6;2;15
09M;20170404000000989;2;280085221;M;6750573.4;592268.2;1;0
09M;20170404000000989;2;280084467;M;6750906.4;589215.6;1;0
09M;20170404000000989;2;280082883;M;6752722.2;594666.1;3;21
09M;20170404000000989;2;280081371;M;6754733.5;585435.3;2;17
09M;20170404000000989;2;280081271;M;6768023.2;590958.9;2;13
09M;20170404000000989;2;280084930;M;6758191.7;580642.4;3;31
09M;20170404000000989;2;280180874;M;6758314;590112.2;3;37
09M;20170404000000989;2;280176789;M;6755782.7;573843.1;1;0
09M;20170404000000989;2;280083700;M;6754803.2;586804.6;1;0
09M;20170404000000989;2;280080750;M;6751923.2;593110.7;1;0
09M;20170404000000989;2;280080846;M;6746772.3;590674.2;1;0
09M;20170404000000989;2;280182950;M;6766893.3;592000.3;3;17
09M;20170404000000989;2;280183213;M;6758962.5;579286.3;2;20
09M;20170404000000989;2;280107246;M;6752792.8;577155;2;15
09M;20170404000000989;2;280082304;M;6769769.3;591426.6;1;0
09M;20170404000000989;2;280186905;M;6751025.4;590449.6;3;15
09M;20170404000000989;2;280081143;M;6768155.2;593042.7;2;7
09M;20170404000000989;2;280174023;M;6758689.3;588240;2;12
09M;20170404000000989;2;280081744;M;6751685.8;593130;1;0
09M;20170404000000989;2;280081635;M;6752605.8;593837;2;19
09M;20170404000000989;2;280191272;M;6767795.7;591053.1;2;49
09M;20170404000000989;2;280179645;M;6753362.7;593470.9;2;15
09M;20170404000000989;2;280083212;M;6759702.3;578835.9;2;6
09M;20170404000000989;2;280086073;M;6751985.4;594720.9;1;0
09M;20170404000000989;2;280083480;M;6758996.9;577757.1;2;25
09M;20170404000000989;2;280085125;M;6750930.6;592869.9;2;17
09M;20170404000000989;2;280183740;M;6751893.3;593362.8;1;0
09M;20170404000000989;2;280082749;M;6763691.4;594309.4;1;0
09M;20170404000000989;2;280086200;M;6750775.7;602797.8;2;25
09M;20170404000000989;2;280081214;M;6769173.8;590941.8;1;0
09M;20170404000000989;2;280081111;M;6769886.8;590717.9;3;30
09M;20170404000000989;2;280082438;M;6769575.6;592525.2;2;25
09M;20170404000000989;2;280085537;M;6755710.3;583872.2;1;0
09M;20170404000000989;2;280083287;M;6757207.2;587927.9;1;0
09M;20170404000000989;2;280085281;M;6750948.3;592812.2;1;0
09M;20170404000000989;2;280085287;M;6750287.6;592850.1;3;18
09M;20170404000000989;2;280083115;M;6755345.1;587206.4;2;27
09M;20170404000000989;2;280187131;M;6755012.8;570181.5;1;0
09M;20170404000000989;2;280085798;M;6759385.1;577882.2;2;16
09M;20170404000000989;2;280083264;M;6757033.6;588408;1;0
09M;20170404000000989;2;280179486;M;6747656.6;588270;2;6
09M;20170404000000989;2;280190931;M;6746651.5;587496;2;26
09M;20170404000000989;2;280085205;M;6750670.7;592444.4;1;0
09M;20170404000000989;2;280082995;M;6761824.1;596553;2;8
09M;20170404000000989;2;280172759;M;6764114.7;590500.3;1;0
09M;20170404000000989;2;280081450;M;6754800.2;585264.6;2;37
09M;20170404000000989;2;280175459;M;6756210.7;573311.4;2;22
09M;20170404000000989;2;280188861;M;6750332.6;592005.3;1;0
09M;20170404000000989;2;280085920;M;6752019.3;596008.6;1;0
09M;20170404000000989;2;280083954;M;6753802.5;593583.3;3;23
09M;20170404000000989;2;280182525;M;6749238.8;595808.6;1;0
09M;20170404000000989;2;280084944;M;6759643.3;578462.3;1;0
09M;20170404000000989;2;280082603;M;6762149.7;590678.8;1;0
09M;20170404000000989;2;280083188;M;6754657.8;588637.3;3;44
09M;20170404000000989;2;280081655;M;6752599.1;594120.6;1;0
09M;20170404000000989;2;280180599;M;6768881.7;591004.1;2;38
09M;20170404000000989;2;280180034;M;6758482.1;588134.5;1;0
09M;20170404000000989;2;280172408;M;6758629.2;588333.1;1;0
09M;20170404000000989;2;280081240;M;6769509.7;590836.4;1;0
09M;20170404000000989;2;280084047;M;6754272.8;593411.4;1;0
09M;20170404000000989;2;280186221;M;6759630.6;578644.8;1;0
09M;20170404000000989;2;280084110;M;6752876.6;593535.9;2;19
09M;20170404000000989;2;280180264;M;6746504.4;590669.7;4;50
09M;20170404000000989;2;280085155;M;6750827.4;592396.9;2;10
09M;20170404000000989;2;280083945;M;6755420;593232.5;3;18
09M;20170404000000989;2;280081800;M;6742216;583728.6;1;0
09M;20170404000000989;2;280187129;M;6754970;570234.3;1;0
09M;20170404000000989;2;280081654;M;6752582.6;594090.8;1;0
09M;20170404000000989;2;280084850;M;6743119;579418.2;1;0
09M;20170404000000989;2;280190230;M;6766137.4;593047.9;3;18
09M;20170404000000989;2;280170941;M;6746772.3;587361.4;1;0
09M;20170404000000989;2;280081463;M;6752121.2;593150.9;1;0
09M;20170404000000989;2;280178568;M;6771283.1;586199.7;1;0
09M;20170404000000989;2;280081573;M;6752352.8;593376.6;1;0
09M;20170404000000989;2;280081181;M;6767564.3;590897.8;1;0
09M;20170404000000989;2;280188707;M;6757159.1;589286.1;2;31
09M;20170404000000989;2;280082872;M;6752788.8;594809.6;1;0
09M;20170404000000989;2;280085288;M;6746535.7;592744.2;2;16
09M;20170404000000989;2;280084426;M;6758658.8;588762.3;1;0
09M;20170404000000989;2;280188871;M;6750349.8;591920;1;0
09M;20170404000000989;2;280085475;M;6753717.7;583305.1;1;0
09M;20170404000000989;2;280085232;M;6750884.9;592874.1;1;0
09M;20170404000000989;2;280062275;M;6776848.9;592977.6;2;15
09M;20170404000000989;2;280180767;M;6798046.9;612705.8;2;21
09M;20170404000000989;2;280064517;M;6811777.9;606911.7;4;20
09M;20170404000000989;2;280060737;M;6798085.2;596031.9;4;30
09M;20170404000000989;2;280067305;M;6795450.6;605466.1;3;16
09M;20170404000000989;2;280059162;M;6796418.1;602945.2;3;29
09M;20170404000000989;2;280058895;M;6812128.8;604760.1;3;49
09M;20170404000000989;2;280061686;M;6801776.2;615282.5;47;5652
09M;20170404000000989;2;280059123;M;6797079.4;602507.1;2;475
09M;20170404000000989;2;280180410;M;6800944.1;611256.3;2;13
09M;20170404000000989;2;280070589;M;6785122.2;608823.8;1;0
09M;20170404000000989;2;280182115;M;6796804.2;610981.9;25;372
09M;20170404000000989;2;280071691;M;6795733.1;606142.6;1;0
09M;20170404000000989;2;280066484;M;6795898.1;618869.5;5;22
09M;20170404000000989;2;280072130;M;6791489.4;597256.3;1;0
09M;20170404000000989;2;280061430;M;6773882.3;615160.1;4;22
09M;20170404000000989;2;280069258;M;6782599.3;600312.5;2;13
09M;20170404000000989;2;280067618;M;6790771.6;609558.7;14;765
09M;20170404000000989;2;280064110;M;6788561;614833.3;2;28
09M;20170404000000989;2;280065231;M;6795413.3;615334.3;3;20
09M;20170404000000989;2;280061850;M;6782109.3;591140.4;7;264
09M;20170404000000989;2;280069588;M;6810670.4;595792.8;15;8225
09M;20170404000000989;2;280179090;M;6785055.2;595510;2;38
09M;20170404000000989;2;280072160;M;6793295.3;598186.3;31;76
09M;20170404000000989;2;280059232;M;6796093.7;605586.1;3;64
09M;20170404000000989;2;280066223;M;6796294.1;597942.4;2;18
09M;20170404000000989;2;280073941;M;6793242.6;614650.5;3;19
09M;20170404000000989;2;280062455;M;6797914.8;605958.1;14;654
09M;20170404000000989;2;280060886;M;6805211.1;601133.3;3;18
09M;20170404000000989;2;280065096;M;6774865.3;591194.4;2;34
09M;20170404000000989;2;280069167;M;6777819.2;606786.2;4;8759
09M;20170404000000989;2;280069126;M;6783707.5;596292.9;6;95
09M;20170404000000989;2;280063503;M;6797135.4;597910.8;3;21
09M;20170404000000989;2;280064565;M;6797365.4;613141.7;2;30
09M;20170404000000989;2;280063386;M;6802102.3;603226.1;4;26
09M;20170404000000989;2;280184638;M;6782314;600550.2;7;147
09M;20170404000000989;2;280067597;M;6805177.7;605872.5;12;4644
09M;20170404000000989;2;280061557;M;6802839.9;616256.7;9;1041
09M;20170404000000989;2;280062629;M;6782104.2;596629.1;3;161
09M;20170404000000989;2;280073660;M;6793476.9;614600.5;3;29
09M;20170404000000989;2;280070697;M;6798391.1;611135.3;3;9
09M;20170404000000989;2;280183764;M;6777180;614663.5;32;5624
09M;20170404000000989;2;280074939;M;6793049.6;596200.3;1;0
09M;20170404000000989;2;280069181;M;6782579.8;599394.9;5;26
09M;20170404000000989;2;280068685;M;6790116.9;620771.5;39;516
09M;20170404000000989;2;280063753;M;6800510.7;615173.3;2;14
09M;20170404000000989;2;280071776;M;6784681.5;617233.4;174;916
09M;20170404000000989;2;280176787;M;6797303.4;609312;5;80
09M;20170404000000989;2;280070461;M;6788154.8;610328.4;4;38
09M;20170404000000989;2;280068964;M;6797794.7;614721.7;4;38
09M;20170404000000989;2;280061793;M;6795962.5;604198;17;4485
09M;20170404000000989;2;280073127;M;6793919.6;614103.9;3;269
09M;20170404000000989;2;280064035;M;6788453.5;612498;3;12
09M;20170404000000989;2;280068182;M;6795121.4;602296.4;3;16
09M;20170404000000989;2;280073647;M;6793896.2;614393.7;4;24
09M;20170404000000989;2;280064092;M;6788394.3;614294.5;2;20
09M;20170404000000989;2;280066116;M;6795969.5;598604.6;10;117
09M;20170404000000989;2;280059834;M;6803389.6;614202;1;0
09M;20170404000000989;2;280061411;M;6774504.9;618607.4;2;12
09M;20170404000000989;2;280060831;M;6800313.9;593322.1;5;33
09M;20170404000000989;2;280186792;M;6771046.7;600481.6;3;83
09M;20170404000000989;2;280060954;M;6799734.2;611938.1;1;0
09M;20170404000000989;2;280172233;M;6796099.1;598204.2;2;14
09M;20170404000000989;2;280061232;M;6808559.1;599083.1;1;0
09M;20170404000000989;2;280059575;M;6796142.8;618033.7;6;29
09M;20170404000000989;2;280064321;M;6788900.2;614487.5;4;30
09M;20170404000000989;2;280171327;M;6791939;608621.9;2;17
09M;20170404000000989;2;280070386;M;6792750.9;599542.7;5;25
09M;20170404000000989;2;280067668;M;6803866.4;605049;2;8
09M;20170404000000989;2;280068524;M;6784106.2;599436.6;3;15
09M;20170404000000989;2;280060381;M;6792276.5;608169.5;3;22
09M;20170404000000989;2;280073063;M;6775308.4;599645.6;1;0
09M;20170404000000989;2;280178954;M;6782719.9;598949.3;3;18
09M;20170404000000989;2;280171671;M;6783210.2;617950.5;2;9
09M;20170404000000989;2;280061874;M;6779817.3;592578.3;7;240
09M;20170404000000989;2;280061857;M;6780723.8;591780.9;15;2588
09M;20170404000000989;2;280067345;M;6795330.6;605536.8;5;81
09M;20170404000000989;2;280059479;M;6801816.5;608914.7;1;0
09M;20170404000000989;2;280061693;M;6802418.4;617522.5;2;19
09M;20170404000000989;2;280068528;M;6783380.3;598927.5;1;0
09M;20170404000000989;2;280060240;M;6816837.2;590704.5;1;0
09M;20170404000000989;2;280071100;M;6798137.6;610607.5;6;23
09M;20170404000000989;2;280066019;M;6794385.4;598868.3;8;277
09M;20170404000000989;2;280067587;M;6805427;605555.9;3;13
09M;20170404000000989;2;280072485;M;6801132.9;610212.9;3;8
09M;20170404000000989;2;280071097;M;6798167.2;610570.2;3;13
09M;20170404000000989;2;280170362;M;6803407.9;610359.2;2;31
09M;20170404000000989;2;280059018;M;6792271.8;607155.2;2;15
09M;20170404000000989;2;280184158;M;6798857.9;613777.5;2;13
